Fichier;URL de téléchargement
Ehis 2019 - Non standardise;https://fr.ftp.opendatasoft.com/sgsocialgouv/EHIS/NonStandardise.html
Ehis 2019 - Standardise;https://fr.ftp.opendatasoft.com/sgsocialgouv/EHIS/Standardise.html
